,SpanwiseLocAlongWing_in,Fz_lbf,My_lbf_in
0,121.16213046786076,-4851.809122013657,-399210.0009068344
1,151.17420282977207,-7727.30594007195,-598146.9543316939
2,174.60741596551495,-7653.262688481468,-825362.1138159336
3,201.22571225216032,-6502.534446125237,-752547.834083025
4,227.7791576783528,-6197.690415596371,-780009.9319653078
5,254.34563756094343,-5982.445531044265,-786231.1249576549
6,280.8868545869394,-5889.539045103522,-772278.6376412058
7,307.449185074163,-5774.110210767193,-770892.6951905931
8,333.96805375769736,-5672.992873262015,-773218.1882587005
9,360.52249013188083,-5594.319095445453,-774566.1145947368
10,387.0860755185914,-5540.8135597402525,-768909.3244340424
11,413.74748791755314,-5478.249860221112,-757904.4886391093
12,440.5823297794153,-5500.098636497358,-753218.1426673564
13,467.6278116637245,-5493.843525272709,-749374.2924965274
14,493.98843755784867,-5407.009452315427,-736437.0468126019
15,520.2986564301422,-5346.33071239699,-721093.4055451504
16,546.6143557796431,-5298.614285816779,-706465.6111602325
17,572.9256560171444,-5239.032688056983,-688275.7505024082
18,599.2398887258498,-5179.655360749615,-672202.3432020476
19,625.5504487230471,-5119.1795200336,-653815.1449668077
20,651.8740196791434,-5055.524912971621,-632564.009247166
21,678.176564767068,-5006.135356781822,-610897.9268861829
22,704.4666089051283,-4979.91616433721,-587964.5481360758
23,730.7411143850045,-4962.870651509691,-568753.2900262515
24,756.9975622790864,-4963.986592058052,-538580.8443279985
25,783.2376014870954,-4974.231071319675,-514359.28741859004
26,809.4526889492199,-4972.379359865615,-486899.15570179734
27,835.6537643776513,-4956.5436190635355,-463561.16872654867
28,861.8229871391592,-4925.072319305138,-437628.5888621951
29,887.9880392885743,-4871.663044943007,-410888.3413758816
30,914.1300155646483,-4776.4813766916905,-385553.2790903767
31,940.2638518588917,-4563.929695811508,-351051.7005240428
32,966.3488308335221,-4282.564227454832,-317883.4060718521
33,992.4161154364709,-3711.9633306363253,-243310.91081446066
34,1018.4585580360075,-2298.6168383785434,-137108.48314198543
35,1044.4891970775996,-2298.0790158338464,-136016.93595200093
36,1070.494061202355,-2295.7969622738437,-134766.43871361716
37,1096.471467912776,-2291.825944496086,-133502.80493907048
38,1122.4515376730387,-2059.6837691419805,-121070.25708195654
39,1148.8142726788383,-915.338336760542,-58554.16095359325
40,1142.5234870745587,-0.003060420474866987,-0.22087628557049632
